gene_id	PC_0	PC_1	PC_2	PC_3	PC_4
ENSG00000002726	-0.03549023	-0.0139502	-0.065627486	-0.13352445	0.04778911
ENSG00000002745	-0.035817415	-0.01392073	-0.0649987	-0.13058095	0.045391638
ENSG00000002746	-0.011114334	-0.01399924	-0.066512145	-0.1359009	0.048452
ENSG00000002822	-0.03544912	-0.013777427	-0.06300111	-0.12241352	0.0424514
ENSG00000002834	0.0034561714	-0.0067664688	-0.035337485	-0.025763908	-0.007721351
ENSG00000002919	-0.017638726	-0.01337236	-0.055141184	-0.08989223	0.02814338
ENSG00000002933	-0.02897681	-0.011860028	-0.025407566	0.04739505	-0.08399379
ENSG00000003056	0.008756103	-0.010555037	-0.008846083	0.09003053	-0.057665028
ENSG00000003096	-0.03250605	-0.01382971	-0.062712915	-0.12311944	0.039651632
ENSG00000003137	-0.034111977	-0.013909166	-0.065029316	-0.12949638	0.044457935
ENSG00000003147	-0.004982004	-0.012986893	-0.023990197	-0.07678675	0.050508283
ENSG00000003249	-0.035162035	-0.013953397	-0.06400779	-0.13485184	0.049191967
ENSG00000003393	-0.027875144	-0.013468979	-0.056699153	-0.10106882	0.034101307
ENSG00000003400	-0.033710387	-0.013424087	-0.058723178	-0.10504435	0.038740363
ENSG00000003402	0.026028872	-0.007243848	0.058554973	0.37401736	-0.16929513
ENSG00000003436	-0.006119942	-0.0022656645	0.1680466	1.0192952	-0.4254966
ENSG00000003509	-0.028802881	-0.013260587	-0.051535666	-0.080023326	0.021574885
ENSG00000003756	0.0063953167	-0.009688231	0.026127674	0.15833126	-0.082267575
ENSG00000003987	-0.035651807	-0.013912167	-0.06397141	-0.13123694	0.04788248
ENSG00000003989	-0.032208208	-0.013519965	-0.05068064	-0.0990851	0.03806899
ENSG00000004059	0.026734723	-0.009202861	0.045517467	0.229841	-0.06878077
ENSG00000004139	-0.031280372	-0.013897074	-0.06305182	-0.1292991	0.048591472
ENSG00000004142	0.10169036	-0.008818422	-0.02756278	-0.014756355	0.004158895
ENSG00000004399	-0.03375083	-0.013005404	-0.051988628	-0.07197922	0.02835726
ENSG00000004455	0.04227137	-0.009532023	0.020829016	0.16572756	-0.042799704
ENSG00000004468	-0.0059813736	-0.012570203	-0.04810709	-0.05231094	0.01266246
ENSG00000004478	0.17137927	-0.011419928	-0.017864307	0.009836834	-0.020020511
ENSG00000004487	-0.006845073	-0.012822989	-0.04501975	-0.061761912	0.012522158
ENSG00000004534	-0.009187571	-0.009008106	0.034238946	0.19097051	-0.1145595
ENSG00000004660	-0.03148922	-0.013835645	-0.063185	-0.1270228	0.044691097
ENSG00000004700	-0.028064042	-0.012940104	-0.047678888	-0.0575232	0.005550273
ENSG00000004766	-0.026194992	-0.013266246	-0.05587971	-0.098775476	0.030026022
ENSG00000004776	-0.033009574	-0.012890742	-0.04427361	-0.029934872	-0.029994132
ENSG00000004777	-0.035169315	-0.013933983	-0.06559367	-0.1335815	0.04793174
ENSG00000004779	0.05449577	-0.008511308	0.05341889	0.24099971	-0.054860823
ENSG00000004799	3.6317742	-0.0047973325	0.20687176	0.9671075	-0.8557435
ENSG00000004809	-0.035984177	-0.013629702	-0.06601227	-0.13430369	0.048115652
ENSG00000004838	-0.03593476	-0.013944606	-0.065621845	-0.13367184	0.050695643
ENSG00000004846	-0.03599723	-0.013925914	-0.065965645	-0.1337779	0.047427244
ENSG00000004848	-0.036056552	-0.013981693	-0.066258356	-0.13623367	0.0493481
ENSG00000004864	0.027485216	-0.012864451	-0.042434953	-0.048810475	0.005759499
ENSG00000004866	0.0021497093	-0.012795573	-0.04070307	-0.03567479	0.071174294
ENSG00000004897	-0.008890243	-0.006878719	-0.004862163	0.12423191	-0.11556326
ENSG00000004939	-0.035970315	0.113891326	-0.06738481	-0.13786297	0.049947586
ENSG00000004948	-0.035986423	-0.013960477	-0.06599748	-0.13444166	0.048337452
ENSG00000004961	-0.012331323	-0.013010301	-0.052779548	-0.080994315	0.022000235
ENSG00000004975	-0.023203121	-0.013592697	-0.058940947	-0.10927654	0.041187882
ENSG00000005001	-0.034194585	-0.013937981	-0.06514646	-0.13172698	0.04968965
ENSG00000005007	-0.017558444	-0.012766759	-0.045132484	-0.06611623	0.01978579
ENSG00000005020	0.008969031	-0.010689096	-0.011082966	0.10110001	-0.09540484
ENSG00000005022	0.14884849	0.007670923	0.6433234	1.3982576	-0.044945966
ENSG00000005059	-0.02469302	-0.010838364	-0.014143007	0.090579286	-0.098003075
ENSG00000005073	-0.035853863	-0.013912965	-0.06503463	-0.12957244	0.044551615
ENSG00000005075	-0.0055323876	-0.007953824	-0.01747506	0.021234922	0.0036672882
ENSG00000005100	-0.030539837	-0.013444702	-0.05794191	-0.105152145	0.032917187
ENSG00000005102	-0.03537377	-0.013810169	-0.06306891	-0.12174931	0.040866006
ENSG00000005108	-0.03540134	-0.0138057815	-0.062863454	-0.120526455	0.041440006
ENSG00000005156	-0.01728841	-0.013619916	-0.057868145	-0.11370519	0.040890824
ENSG00000005175	-0.021072812	-0.013156174	-0.05099762	-0.08056087	0.025999255
ENSG00000005187	-0.01757764	-0.01142107	-0.037073195	-0.0695781	0.025618602
ENSG00000005189	-0.03400266	-0.013331361	-0.054351173	-0.079050146	0.006143293
ENSG00000005194	0.007672772	-0.012204042	-0.03711956	-0.02028084	0.012962473
ENSG00000005206	-0.029968208	-0.013418274	-0.053107128	-0.10253703	0.036698505
ENSG00000005238	-0.033930235	-0.0044022277	-0.06122602	-0.11419373	0.03666202
ENSG00000005243	-0.024494475	-0.012728115	-0.03829472	-0.017000945	-0.0353507
ENSG00000005249	-0.03310463	-0.010718601	-0.06310096	-0.12644365	0.04329078
ENSG00000005302	-0.02257471	-0.012476245	-0.04475003	-0.053932566	0.0033704143
ENSG00000005339	-0.015748594	-0.010307908	-0.016329162	0.03818912	-0.03770642
ENSG00000005379	-0.035623822	-0.013877785	-0.063599594	-0.12916385	0.045902543
ENSG00000005381	-0.035440125	-0.013648492	-0.06254415	-0.12117826	0.040551208
ENSG00000005421	-0.03602343	-0.013947394	-0.066143386	-0.13458177	0.049671628
ENSG00000005436	-0.020087719	-0.013308389	-0.05110888	-0.0863823	0.02230376
ENSG00000005448	-0.022046415	-0.013138799	-0.050579473	-0.07321756	0.019410945
ENSG00000005469	0.03652299	-0.013657936	-0.05845851	-0.1061392	0.032841507
ENSG00000005471	-0.03592931	-0.013243209	-0.06562427	-0.13264929	0.047041316
ENSG00000005483	0.03458197	-0.006838612	0.06595988	0.36484638	-0.19020139
ENSG00000005486	0.16101909	-0.01149628	-0.018740887	0.048182078	0.013816119
ENSG00000005513	-0.036017038	-0.013970395	-0.06617159	-0.13517906	0.048607606
ENSG00000005700	-0.01123388	-0.01339054	-0.052894384	-0.093183026	0.03669375
ENSG00000005801	-0.020395637	-0.012968678	-0.04254843	-0.06801603	0.013470654
ENSG00000005810	-0.008744454	-0.01052804	-0.00050095876	0.120726705	-0.096147195
ENSG00000005812	-0.009792774	-0.012349201	-0.03647692	-0.013183451	-0.015686393
ENSG00000005844	-0.033323392	-0.012880865	-0.04959498	-0.0694193	0.009967367
ENSG00000005882	-0.0103977835	-0.01328595	-0.051478826	-0.09068514	0.034705482
ENSG00000005884	-0.03226378	-0.013665095	-0.05800484	-0.10267455	0.064231984
ENSG00000005889	-0.022124713	-0.012536469	-0.03765641	-0.027141828	-0.0071615563
ENSG00000005893	0.1828272	-0.0064075016	0.08008447	0.45951203	-0.33179024
ENSG00000005961	-0.034819417	-0.0082414225	-0.063887514	-0.12531297	0.042711485
ENSG00000005981	-0.035984375	-0.01398361	-0.06611146	-0.1360558	0.050484065
ENSG00000006007	0.010571157	0.032345437	-0.02487891	0.0059868027	0.041690174
ENSG00000006015	0.002654477	-0.010810795	-0.006869796	0.0628966	-0.046512775
ENSG00000006016	-0.032788627	-0.012768718	-0.041713364	-0.015381001	-0.042641733
ENSG00000006025	-0.027103549	-0.013860846	-0.06292321	-0.1292971	0.04710609
ENSG00000006042	-0.029690884	-0.011946039	-0.00853896	0.04796796	-0.043615818
ENSG00000006047	-0.036034428	-0.013988488	-0.0665604	-0.13673012	0.049695536
ENSG00000006059	-0.036066446	-0.013988091	-0.06653863	-0.13657118	0.04957457
ENSG00000006062	-0.033831704	-0.013796032	-0.06287189	-0.12296823	0.04462795
ENSG00000006071	-0.027537735	-0.013974926	-0.06585182	-0.13505808	0.048744824
ENSG00000006116	-0.036083106	-0.013992677	-0.06663654	-0.13696374	0.049796965
ENSG00000006118	-0.0349329	-0.013904485	-0.064706385	-0.13006398	0.045521706
ENSG00000006125	0.04853816	-0.008031709	-0.032513633	0.0067387517	-0.008410366
ENSG00000006128	-0.03513431	-0.013587041	-0.05482859	-0.09934274	0.019983519
ENSG00000006194	-0.02338256	-0.013398706	-0.055244885	-0.09286118	0.02782035
ENSG00000006210	-0.024840279	-0.013224834	-0.053610746	-0.0837037	0.02191286
ENSG00000006282	-0.024776515	-0.013369932	-0.051187124	-0.09732548	0.02731581
ENSG00000006283	-0.03590002	-0.013920727	-0.06534366	-0.13106917	0.04578786
ENSG00000006327	-0.0012941909	-0.012105261	-0.011407872	0.030387223	0.011835747
ENSG00000006377	-0.03242798	-0.013968773	-0.06616193	-0.13454677	0.047949437
ENSG00000006432	-0.03431132	-0.013832315	-0.063041195	-0.12322497	0.04799874
ENSG00000006451	-0.019245047	-0.011902393	-0.02018856	0.029165043	-0.016777828
ENSG00000006453	-0.013632995	-0.013675563	-0.054137368	-0.10662055	0.06140397
ENSG00000006459	-0.024571324	-0.010619824	-0.04614706	-0.049814437	-0.002473396
ENSG00000006468	-0.035236735	-0.013708496	-0.060099848	-0.09786453	0.08548396
ENSG00000006530	-0.030721199	-0.013557441	-0.059005134	-0.106520064	0.035675455
ENSG00000006534	-0.033438243	-0.01346409	-0.058315445	-0.10193749	0.058517557
ENSG00000006555	-0.030565206	-0.013825115	-0.061456464	-0.12323842	0.044868544
ENSG00000006576	-0.02246849	-0.013043114	-0.05068504	-0.06993703	0.011873133
ENSG00000006606	-0.035817962	-0.013903995	-0.064919956	-0.12896702	0.04397545
ENSG00000006607	-0.019769887	-0.013334278	-0.05056956	-0.090275876	0.027098993
ENSG00000006611	-0.035969105	-0.013940171	-0.064863615	-0.13322969	0.047509074
ENSG00000006625	-0.0013361275	-0.011602236	-0.018037539	0.021764431	0.01829225
ENSG00000006634	-0.032669984	-0.013135857	-0.053764805	-0.08744682	0.02584888
ENSG00000006638	-0.03592874	-0.013846013	-0.0657982	-0.13332933	0.04790863
ENSG00000006652	0.004704188	-0.0063122306	0.13866965	0.4916484	-0.35215545
ENSG00000006659	-0.036082137	-0.013990559	-0.06661557	-0.1369488	0.04978682
ENSG00000006695	-0.02259833	-0.013417509	-0.055404402	-0.09557019	0.03761659
ENSG00000006704	-0.02792674	-0.013800712	-0.062015753	-0.120965995	0.043683346
ENSG00000006712	0.0063505853	-0.010962715	-0.029658463	0.012566484	-0.019485576
ENSG00000006715	-0.01269835	-0.012703233	-0.036023084	-0.045307267	0.014715554
ENSG00000006740	-0.032767374	-0.0138801215	-0.063869946	-0.12438369	0.0538542
ENSG00000006744	-0.0015221151	-0.012759107	-0.043712117	-0.059923686	0.020826135
ENSG00000006747	-0.031124637	-0.013661284	-0.059916984	-0.10062327	0.057301413
ENSG00000006756	-0.014334474	-0.013357552	-0.04250277	-0.085752636	0.050582383
ENSG00000006757	-0.017659333	-0.013397683	-0.051609453	-0.09269766	0.0378897
ENSG00000006788	-0.035982165	-0.013957456	-0.065905765	-0.13337788	0.04700177
ENSG00000006831	-0.032149453	-0.01341062	-0.059450153	-0.11283299	0.045950692
ENSG00000006837	-0.035555866	-0.013911555	-0.06508873	-0.13033055	0.046519823
ENSG00000007001	-0.03607725	-0.013989414	-0.06659901	-0.13684009	0.049722355
ENSG00000007038	-0.035397533	-0.013872327	-0.06541905	-0.13213967	0.04713893
ENSG00000007047	-0.032727763	-0.013716231	-0.061029416	-0.12030854	0.041667905
ENSG00000007062	-0.029686447	-0.013777521	-0.06050729	-0.12395127	0.041587397
ENSG00000007080	0.00024006201	-0.010027197	-0.028884117	-0.0065666037	0.009242278
ENSG00000007129	-0.03379267	-0.0139181465	-0.06564527	-0.13276681	0.047308072
ENSG00000007168	-0.005640933	-0.011480736	-0.020945618	0.04421555	-0.020824391
ENSG00000007171	-0.036023177	-0.013971174	-0.06622047	-0.13542673	0.048909076
ENSG00000007174	-0.0342139	-0.013081216	-0.06571753	-0.13300666	0.047456488
ENSG00000007202	-0.0291635	-0.013213122	-0.0515921	-0.07866176	0.025763355
ENSG00000007216	-0.026490988	-0.013970648	-0.06602466	-0.13406676	0.050508633
ENSG00000007237	-0.031442847	-0.012200009	-0.037402876	0.00015210205	-0.048668012
ENSG00000007255	-0.012559594	-0.011554831	-0.016927693	0.04022837	0.026736354
ENSG00000007264	-0.035244368	-0.0135984635	-0.061724033	-0.116600424	0.038242303
ENSG00000007306	-0.035845146	-0.013894708	-0.06413297	-0.12871276	0.04492802
ENSG00000007312	-0.032637376	-0.012835872	-0.045761272	-0.053158857	0.0006269433
ENSG00000007314	-0.035987623	-0.013960836	-0.066069216	-0.13448733	0.048235215
ENSG00000007341	-0.026259212	-0.013291625	-0.052315224	-0.08623493	0.02991776
ENSG00000007350	-0.034839395	-0.01389796	-0.06506127	-0.13032481	0.045729075
ENSG00000007372	-0.03595627	-0.013958191	-0.06593123	-0.13429458	0.04823587
ENSG00000007376	-0.027310323	-0.013650678	-0.061523974	-0.118326925	0.04344868
ENSG00000007384	-0.030567007	-0.013412464	-0.053559978	-0.08198606	0.016933538
ENSG00000007392	-0.018337663	-0.011428567	-0.02378844	0.009028354	-0.020270612
ENSG00000007402	-0.035622098	-0.013807916	-0.062377732	-0.10291907	0.11284841
ENSG00000007516	-0.035829812	-0.0139378905	-0.06556732	-0.13317509	0.047553923
ENSG00000007520	-0.016227933	-0.012552403	-0.04088717	-0.06474512	0.028124057
ENSG00000007541	-0.02698695	-0.012434521	-0.048693016	-0.112832464	0.050330784
ENSG00000007545	-0.034158178	-0.01365702	-0.06141042	-0.116898105	0.042100955
ENSG00000007866	-0.031006789	-0.01373797	-0.060717355	-0.112414815	0.0367574
ENSG00000007908	-0.018929392	-0.010125114	0.012198801	0.1937672	-0.14818548
ENSG00000007923	-0.017472735	-0.013509975	-0.057865404	-0.10952713	0.03747538
ENSG00000007933	-0.03457581	-0.013382342	-0.05437258	-0.077116616	0.00537798
ENSG00000007944	-0.007940855	-0.0048198234	-0.015683888	0.08466426	-0.054927137
ENSG00000007952	-0.034172203	-0.013979492	-0.06528855	-0.13655171	0.04968255
ENSG00000007968	-0.03590372	-0.011669118	-0.066342376	-0.13564841	0.049354926
ENSG00000008018	0.16329585	-0.00079302286	0.19788966	0.8714009	-0.42324165
ENSG00000008056	-0.035998255	-0.0139467595	-0.06615302	-0.13491893	0.04858681
ENSG00000008083	-0.027977856	-0.012290497	-0.044053946	-0.04481002	-0.0005751976
ENSG00000008086	-0.027560338	-0.013719263	-0.06043378	-0.11091374	0.05676208
ENSG00000008118	-0.036065783	-0.013985791	-0.066536695	-0.13654716	0.049549233
ENSG00000008128	-0.03315152	-0.013003071	-0.057427783	-0.10269307	0.033416785
ENSG00000008130	-0.014031579	-0.012884657	-0.047304325	-0.06588263	0.03156213
ENSG00000008196	-0.035420783	-0.013881095	-0.06442932	-0.12823236	0.044654895
ENSG00000008197	-0.03608345	-0.013992132	-0.06663851	-0.13697301	0.0498023
ENSG00000008226	-0.03563063	-0.013938154	-0.0657505	-0.13311906	0.047603462
ENSG00000008256	-0.03243895	-0.013332512	-0.054549135	-0.08326612	0.017675238
ENSG00000008277	-0.035661384	-0.013831622	-0.06356055	-0.123071834	0.04082732
ENSG00000008282	0.08538595	-0.008508317	0.04703266	0.31839493	-0.14787735
ENSG00000008283	0.014554892	-0.01331608	-0.029268341	-0.08383401	0.050917424
ENSG00000008294	-0.012659543	-0.010400024	0.009298003	0.14710738	-0.059887704
ENSG00000008300	-0.03591106	-0.013956985	-0.06599773	-0.13448411	0.048365865
ENSG00000008311	-0.02316589	-0.011519259	-0.009976909	0.10308284	-0.08572563
ENSG00000008323	-0.034312136	-0.013857742	-0.06338174	-0.124831475	0.044612743
ENSG00000008324	-0.0114112	-0.011106595	-0.009378576	0.0743408	-0.05198859
ENSG00000008382	-0.033845074	-0.013711541	-0.05975375	-0.122575566	0.045458212
ENSG00000008394	0.04254453	0.013366284	0.5406524	2.8288794	0.22157712
ENSG00000008405	-0.014252962	-0.013073494	-0.048884235	-0.058837462	0.01420826
ENSG00000008438	-0.036048193	-0.013503626	-0.066496216	-0.1364249	0.04947997
ENSG00000008441	-0.031498913	0.01715492	-0.043035638	-0.036030453	0.03440105
ENSG00000008513	0.007510078	-0.0072271675	-0.02668167	0.032589365	-0.035187595
ENSG00000008516	-0.035921052	-0.008084743	-0.06551587	-0.13385896	0.048045892
ENSG00000008517	-0.005374195	-0.009083279	0.15397345	0.15747339	-0.1352753
ENSG00000008710	-0.014716915	-0.013619503	-0.05872344	-0.10611024	0.031413823
ENSG00000008735	-0.03576429	-0.01396649	-0.06483878	-0.13558115	0.049280502
ENSG00000008838	-0.008038907	-0.0109913	-0.04089996	-0.040120795	0.019173795
ENSG00000008853	0.0037642566	-0.013725627	-0.059718516	-0.09438412	0.10726021
ENSG00000008869	-0.009943693	-0.009635782	-0.035137173	-0.028624231	-0.007063632
ENSG00000008952	0.055468384	0.028152885	0.09302964	0.34122926	-0.13303845
ENSG00000008988	0.26519316	0.019634226	0.6708134	2.1435304	-0.5673251
ENSG00000009307	0.17825858	0.017138917	0.115600795	0.40678805	-0.18174039
ENSG00000009335	-0.024541494	-0.012964583	-0.045515113	-0.06334523	0.022493849
ENSG00000009413	-0.01884401	-0.010896753	-0.006056338	0.118338734	-0.11261271
ENSG00000009694	-0.035146076	-0.013629479	-0.059429724	-0.10221139	0.023615366
ENSG00000009709	-0.03594641	-0.013950354	-0.06573138	-0.1333561	0.04755968
ENSG00000009724	-0.03601301	-0.013965028	-0.06612559	-0.13457927	0.04859258
ENSG00000009765	-0.03603964	-0.013972658	-0.06624045	-0.13526416	0.050556995
ENSG00000009780	-0.02721755	-0.013154497	-0.048691172	-0.07382241	0.023323432
ENSG00000009790	-0.03154251	-0.012429282	-0.039394364	-0.03359709	-0.010858499
ENSG00000009830	-0.030576078	-0.013771528	-0.0607326	-0.120211385	0.04452267
ENSG00000009844	0.029147606	-0.011279065	-0.017249972	0.067427084	-0.06865839
ENSG00000009950	-0.034937516	-0.013549772	-0.05683508	-0.0934945	0.021880018
ENSG00000009954	0.024483934	-0.012221475	-0.035825603	-0.017876966	-0.0009058291
ENSG00000010017	-0.0219661	-0.01254808	-0.042199753	-0.046716966	0.012635944
ENSG00000010030	-0.035163097	-0.0138813155	-0.06435542	-0.12738647	0.045925375
ENSG00000010072	-0.029888965	-0.013479964	-0.057636075	-0.10020301	0.029410673
ENSG00000010165	-0.023813253	-0.013288938	-0.05444356	-0.098724715	0.032941144
ENSG00000010219	-0.01785031	-0.013141669	-0.04695319	-0.075204335	0.03228972
ENSG00000010244	0.050001472	-0.00829393	0.033813477	0.25939417	-0.14929181
ENSG00000010256	0.1328427	-0.0052146777	0.146369	0.45865583	-0.20617935
ENSG00000010270	-0.018467361	-0.0075059324	-0.02223925	0.06461123	0.0496784
ENSG00000010278	1.4503801	0.001633721	0.29301092	1.3816112	-0.044226088
ENSG00000010282	-0.036066808	-0.013986053	-0.06652825	-0.13646884	0.049466725
ENSG00000010292	-0.026023403	-0.012299955	-0.0572735	-0.104202874	0.035595894
ENSG00000010295	-0.034562822	-0.011706277	-0.055350684	-0.09376879	0.022276921
ENSG00000010310	-0.035550892	-0.013887953	-0.06387248	-0.1294519	0.046774156
ENSG00000010318	-0.03032637	-0.013560933	-0.059176493	-0.10987745	0.034807123
ENSG00000010319	-0.03566363	-0.013886755	-0.06453478	-0.12796752	0.045833845
ENSG00000010322	-0.017427174	-0.012392609	-0.036067948	-0.025753753	0.0006529847
ENSG00000010327	-0.030149454	-0.010596642	-0.03130029	0.016934881	-0.039256517
ENSG00000010361	-0.033046942	-0.013583788	-0.063724935	-0.1267727	0.046249226
ENSG00000010379	-0.036020383	-0.013965764	-0.06594498	-0.1349069	0.048897497
ENSG00000010404	-0.026865266	-0.012675025	-0.047057245	-0.053013228	0.004286912
ENSG00000010438	-0.01822969	0.0030782262	4.230181	-1.2450426	0.32959104
ENSG00000010539	-0.033310063	-0.013667705	-0.06131496	-0.11527324	0.03688984
ENSG00000010610	-0.031771295	-0.012220057	-0.043339577	-0.037267283	-0.007702195
ENSG00000010626	-0.030710122	-0.013705404	-0.060393456	-0.11053984	0.0447346
ENSG00000010671	-0.03469083	-0.01309992	-0.057386007	-0.09972038	0.027786335
ENSG00000010704	-0.034968156	-0.013697582	-0.060073067	-0.113507204	0.03646385
ENSG00000010803	-0.01924069	-0.01353008	-0.055362917	-0.101264715	0.036218394
ENSG00000010810	-0.023785971	-0.009592139	0.014065656	0.21828155	-0.18048705
ENSG00000010818	-0.025656098	-0.013123013	-0.049612444	-0.066723555	0.0074737137
ENSG00000010932	-0.035256412	-0.013849765	-0.06375441	-0.12497443	0.041487925
ENSG00000011007	0.010177725	-0.012610094	-0.035323624	-0.030973107	0.025920719
ENSG00000011009	0.0061355997	-0.011036052	-0.037069198	-0.029979574	0.026077185
ENSG00000011021	-0.032336168	-0.0132885855	-0.055651665	-0.090955496	0.032808214
ENSG00000011028	-0.033458672	-0.012469219	-0.051327795	-0.061218504	0.018994266
ENSG00000011083	-0.036073748	-0.01398903	-0.066557385	-0.13669904	0.049643423
ENSG00000011105	-0.03294006	-0.012816529	-0.06217735	-0.121715054	0.043292183
ENSG00000011114	-0.033011124	-0.013501042	-0.058009587	-0.10545093	0.037766114
ENSG00000011132	-0.024300836	-0.013596931	-0.05973982	-0.10943262	0.034531087
ENSG00000011143	-0.022635354	-0.013523426	-0.05580075	-0.11207768	0.040367387
ENSG00000011198	-0.0043568546	-0.010453626	-0.004937179	0.12757522	-0.08791186
ENSG00000011201	-0.023731159	-0.013479224	-0.05611251	-0.085870154	0.014998373
ENSG00000011243	-0.022070307	-0.012267264	-0.052593064	-0.09069589	0.031398017
ENSG00000011258	-0.033471983	-0.0135173155	-0.056860566	-0.10318013	0.032837916
ENSG00000011260	-0.011618769	-0.0121562965	-0.031420197	-0.016172815	-0.00061657804
ENSG00000011275	-0.019405292	-0.012554136	-0.037072957	-0.037888788	0.0033043716
ENSG00000011295	-0.0009403915	-0.011774757	-0.022451319	0.024777845	-0.009986665
ENSG00000011304	0.027533254	-0.010916348	-0.01331012	0.059428588	-0.027265638
ENSG00000011332	-0.036059786	-0.01398554	-0.06654402	-0.13657226	0.04965239
ENSG00000011347	-0.035064887	-0.013944891	-0.06560021	-0.13288099	0.04731419
ENSG00000011376	-0.032320008	-0.013776788	-0.06304798	-0.12288494	0.04348795
ENSG00000011405	-0.018517733	-0.012097961	-0.036173794	-0.021147935	0.0050682276
ENSG00000011422	0.028781615	0.005728789	0.23543341	1.1870395	-0.7483145
ENSG00000011426	-0.03484488	-0.013709557	-0.064265504	-0.12743284	0.045690797
ENSG00000011451	-0.030683907	-0.013717506	-0.061424978	-0.12063784	0.043358706
ENSG00000011454	-0.013666377	-0.013016674	-0.044795446	-0.062963925	0.024881
ENSG00000011465	0.7208222	0.28834763	6.125709	30.50269	-23.66215
ENSG00000011478	-0.034822777	-0.0139087625	-0.06494668	-0.13086757	0.04783929
ENSG00000011485	-0.015812218	-0.013474018	-0.05711884	-0.1005428	0.04294362
ENSG00000011523	-0.029333698	-0.013099313	-0.048297875	-0.069741525	0.0057277144
ENSG00000011566	-0.020839171	-0.0131985415	-0.048878938	-0.074970335	0.021689156
ENSG00000011590	-0.03574869	-0.013875427	-0.06320477	-0.12916958	0.04502185
ENSG00000011600	-0.0115769785	-0.0014356372	0.087906726	0.52908015	-0.32868603
ENSG00000011638	-0.026340345	-0.01317498	-0.04890355	-0.06489183	0.013359694
ENSG00000011677	-0.035998695	-0.013973011	-0.06621422	-0.13531336	0.048791684
ENSG00000012048	-0.034139954	-0.013545607	-0.06293292	-0.12249247	0.04367613
ENSG00000012061	-0.00061680115	-0.010566617	-0.011881836	0.057858746	-0.042875405
ENSG00000012124	-0.03382557	-0.013377475	-0.054682102	-0.08992542	0.022918532
ENSG00000012171	-0.027551379	-0.013724314	-0.057184435	-0.11458611	0.03695788
ENSG00000012174	-0.027560035	-0.013619034	-0.058748238	-0.10514061	0.031339504
ENSG00000012211	-0.0310416	-0.0138197215	-0.06310046	-0.12419825	0.044999227
ENSG00000012223	0.15759094	-0.011510059	-0.025360843	0.013651734	-0.03209508
ENSG00000012232	-0.033190515	-0.013709908	-0.06009361	-0.116836786	0.04058537
ENSG00000012504	-0.036020253	-0.013963404	-0.06592274	-0.13488919	0.04855732
ENSG00000012660	0.6011041	-0.011630418	-0.02728033	0.07118448	-0.024037134
ENSG00000012779	-0.033855505	-0.011715064	-0.050814286	-0.08089516	0.017293563
ENSG00000012817	-0.030853456	-0.013460105	-0.060589835	-0.11466869	0.03743181
ENSG00000012822	-0.011552248	-0.008777089	-0.035432152	-0.019263683	-0.007682773
ENSG00000012963	-0.029200418	-0.013584232	-0.057911675	-0.11051374	0.03841105
ENSG00000012983	-0.01356897	-0.0018505653	-0.02647357	0.0009639522	-0.023927368
ENSG00000013016	-0.03503525	-0.013564498	-0.060801074	-0.11260836	0.034608666
ENSG00000013275	0.040305607	-0.007397674	-0.0047947676	0.09309067	-0.062935665
ENSG00000013288	-0.029402666	-0.013097962	-0.047216035	-0.06592913	0.007713598
